>>> spin_at_rate(dps = 9, Kp = 0, Ki = 0.0025, Kd = 0, interval = 50)
Starting spin in 5 seconds...
Yaw: 4.56°/s, Target: 9°/s, Error: 4.44, Steering: 0.25
Yaw: 10.05°/s, Target: 9°/s, Error: -1.05, Steering: 0.25
Yaw: 11.20°/s, Target: 9°/s, Error: -2.20, Steering: 0.24
Yaw: 8.08°/s, Target: 9°/s, Error: 0.92, Steering: 0.24
Yaw: 5.27°/s, Target: 9°/s, Error: 3.73, Steering: 0.25
Yaw: 6.58°/s, Target: 9°/s, Error: 2.42, Steering: 0.25
Yaw: 8.82°/s, Target: 9°/s, Error: 0.18, Steering: 0.25
Yaw: 8.99°/s, Target: 9°/s, Error: 0.01, Steering: 0.25
Yaw: 9.35°/s, Target: 9°/s, Error: -0.35, Steering: 0.25
Yaw: 5.01°/s, Target: 9°/s, Error: 3.99, Steering: 0.25
Yaw: 3.38°/s, Target: 9°/s, Error: 5.62, Steering: 0.25
