>>> spin_at_rate(dps = 9, Kp = 0, Ki = 0.005, Kd = 0, interval = 50)
Starting spin in 5 seconds...
Yaw: 7.23°/s, Target: 9��/s, Error: 1.77, Steering: 0.16
Yaw: -0.09��/s, Target: 9°/s, Error: 9.09, Steering: 0.21
Yaw: 5.09°/s, Target: 9��/s, Error: 3.91, Steering: 0.23
Yaw: 7.23°/s, Target: 9°/s, Error: 1.77, Steering: 0.24
Yaw: 4.12��/s, Target: 9°/s, Error: 4.88, Steering: 0.26
Yaw: 7.29°/s, Target: 9°/s, Error: 1.71, Steering: 0.27
Yaw: 9.80°/s, Target: 9°/s, Error: -0.80, Steering: 0.27
Yaw: 13.68°/s, Target: 9��/s, Error: -4.68, Steering: 0.24
Yaw: 7.87°/s, Target: 9��/s, Error: 1.13, Steering: 0.25
Yaw: 5.63°/s, Target: 9°/s, Error: 3.37, Steering: 0.27
Yaw: 8.32°/s, Target: 9°/s, Error: 0.68, Steering: 0.27
Yaw: 6.31°/s, Target: 9��/s, Error: 2.69, Steering: 0.28
Yaw: 7.41°/s, Target: 9°/s, Error: 1.59, Steering: 0.29
Yaw: 15.97°/s, Target: 9°/s, Error: -6.97, Steering: 0.26
Yaw: 11.47°/s, Target: 9°/s, Error: -2.47, Steering: 0.24
Yaw: 13.12°/s, Target: 9°/s, Error: -4.12, Steering: 0.22
Yaw: 17.93°/s, Target: 9°/s, Error: -8.93, Steering: 0.18
Yaw: 13.25°/s, Target: 9°/s, Error: -4.25, Steering: 0.16
Yaw: 3.03°/s, Target: 9°/s, Error: 5.97, Steering: 0.19
Yaw: 7.27°/s, Target: 9°/s, Error: 1.73, Steering: 0.20
Yaw: 7.89°/s, Target: 9°/s, Error: 1.11, Steering: 0.20
Yaw: 8.44°/s, Target: 9°/s, Error: 0.56, Steering: 0.20
Yaw: 3.12°/s, Target: 9°/s, Error: 5.88, Steering: 0.23
Yaw: 8.90°/s, Target: 9°/s, Error: 0.10, Steering: 0.23
Yaw: 6.45°/s, Target: 9°/s, Error: 2.55, Steering: 0.25
Yaw: 7.33°/s, Target: 9°/s, Error: 1.67, Steering: 0.25
Yaw: 10.39°/s, Target: 9°/s, Error: -1.39, Steering: 0.25
Yaw: 10.33°/s, Target: 9°/s, Error: -1.33, Steering: 0.24
